Club,Predecessor,Join date,Coach
Blackburn,Sam Allardyce,13/12/2010,Steve Kean
Newcastle,Peter Beardsley,8/12/2010,Alan Pardew
Newcastle,Chris Hughton,6/12/2010,Peter Beardsley
Aston Villa,Kevin MacDonald,9/9/2010,Gérard Houllier
Aston Villa,Martin O'Neill,9/8/2010,Kevin MacDonald
Fulham,Ray Lewington,29/7/2010,Mark Hughes
Swansea,Brendan Rodgers,30/6/2012,Garry Monk
Wolves,Terry Connor,30/6/2012,Dean Saunders
Tottenham,Harry Redknapp,14/6/2012,André Villas-Boas
Chelsea,Roberto Di Matteo,12/6/2012,Roberto Di Matteo
Norwich,Paul Lambert,1/6/2012,Chris Hughton
Liverpool,Sir Kenny Dalglish,16/5/2012,Brendan Rodgers
West Brom,Roy Hodgson,15/5/2012,Steve Clarke
Aston Villa,Alex McLeish,14/5/2012,Paul Lambert
Chelsea,André Villas-Boas,4/3/2012,Roberto Di Matteo
Wolves,Mick McCarthy,13/2/2012,Terry Connor
QPR,Neil Warnock,8/1/2012,Mark Hughes
Sunderland,Eric Black,4/12/2011,Martin O'Neill
Sunderland,Steve Bruce,30/11/2011,Eric Black
Chelsea,Rafael Benítez,30/6/2013,José Mourinho
Everton,David Moyes,30/6/2013,David Unsworth
Man United,Sir Alex Ferguson,30/6/2013,David Moyes
Wigan,Roberto Martínez,28/5/2013,Owen Coyle
Stoke,Tony Pulis,21/5/2013,Mark Hughes
Man City,Brian Kidd,19/5/2013,Manuel Pellegrini
Man City,Roberto Mancini,13/5/2013,Brian Kidd
Sunderland,Martin O'Neill,30/3/2013,Paolo Di Canio
Reading,Eamonn Dolan †,26/3/2013,Nigel Adkins
Reading,Brian McDermott,11/3/2013,Eamonn Dolan †
Southampton,Nigel Adkins,18/1/2013,Mauricio Pochettino
QPR,Mark Hughes,23/11/2012,Harry Redknapp
Chelsea,Roberto Di Matteo,21/11/2012,Rafael Benítez
Southampton,Mauricio Pochettino,30/6/2014,Ronald Koeman
Tottenham,Tim Sherwood,13/5/2014,Mauricio Pochettino
West Brom,Pepe Mel,12/5/2014,Alan Irvine
Man United,David Moyes,22/4/2014,Louis van Gaal
Norwich,Chris Hughton,6/4/2014,Neil Adams
Fulham,René Meulensteen,14/2/2014,Felix Magath
Swansea,Michael Laudrup,4/2/2014,Garry Monk
Cardiff,David Kerslake,2/1/2014,Ole Gunnar Solskjær
West Brom,Keith Downing,2/1/2014,Pepe Mel
Cardiff,Malky Mackay,27/12/2013,David Kerslake
Tottenham,Tim Sherwood,23/12/2013,Tim Sherwood
Tottenham,André Villas-Boas,16/12/2013,Tim Sherwood
West Brom,Steve Clarke,14/12/2013,Keith Downing
Fulham,Martin Jol,1/12/2013,René Meulensteen
Crystal Palace,Keith Millen,23/11/2013,Tony Pulis
Crystal Palace,Ian Holloway,23/10/2013,Keith Millen
Sunderland,Kevin Ball,7/10/2013,Gustavo Poyet
Sunderland,Paolo Di Canio,22/9/2013,Kevin Ball
Leicester,Nigel Pearson,30/6/2015,Claudio Ranieri
West Ham,Sam Allardyce,30/6/2015,David Moyes
Newcastle,John Carver,9/6/2015,Steve McClaren
QPR,Chris Ramsey,18/5/2015,Chris Ramsey
Sunderland,Gustavo Poyet,16/3/2015,Dick Advocaat
Aston Villa,Scott Marshall,15/2/2015,Tim Sherwood
Aston Villa,Andy Marshall,15/2/2015,Tim Sherwood
Aston Villa,Paul Lambert,11/2/2015,Scott Marshall
QPR,Harry Redknapp,3/2/2015,Chris Ramsey
Crystal Palace,Keith Millen,2/1/2015,Alan Pardew
Newcastle,Alan Pardew,2/1/2015,Steve McClaren
West Brom,Rob Kelly,1/1/2015,Tony Pulis
West Brom,Alan Irvine,29/12/2014,Rob Kelly
Crystal Palace,Neil Warnock,27/12/2014,Keith Millen
Crystal Palace,Keith Millen,27/8/2014,Neil Warnock
Crystal Palace,Tony Pulis,14/8/2014,Keith Millen
Chelsea,Guus Hiddink,30/6/2016,Antonio Conte
Man City,Manuel Pellegrini,30/6/2016,Pep Guardiola
Watford,Quique Sánchez Flores,30/6/2016,Walter Mazzarri
Southampton,Ronald Koeman,30/6/2016,Claude Puel
Everton,David Unsworth,13/6/2016,Ronald Koeman
Aston Villa,Eric Black,3/6/2016,Roberto Di Matteo
Man United,Louis van Gaal,23/5/2016,José Mourinho
Everton,Roberto Martínez,12/5/2016,David Unsworth
Aston Villa,Rémi Garde,29/3/2016,Eric Black
Newcastle,Steve McClaren,11/3/2016,Rafael Benítez
Swansea,Alan Curtis,18/1/2016,Francesco Guidolin
Chelsea,José Mourinho,17/12/2015,Guus Hiddink
Swansea,Garry Monk,9/12/2015,Alan Curtis
Aston Villa,Kevin MacDonald,2/11/2015,Rémi Garde
Aston Villa,Tim Sherwood,25/10/2015,Kevin MacDonald
Liverpool,Brendan Rodgers,4/10/2015,Jürgen Klopp
Sunderland,Dick Advocaat,4/10/2015,Sam Allardyce
Southampton,Claude Puel,14/6/2017,Mauricio Pellegrino
Middlesbrough,Steve Agnew,8/6/2017,Garry Monk
Hull,Marco Silva,25/5/2017,Leonid Slutskiy
Crystal Palace,Sam Allardyce,23/5/2017,Frank de Boer
Sunderland,David Moyes,22/5/2017,Simon Grayson
Watford,Walter Mazzarri,22/5/2017,Marco Silva
Middlesbrough,Aitor Karanka,16/3/2017,Steve Agnew
Leicester,Craig Shakespeare,11/3/2017,Craig Shakespeare
Leicester,Claudio Ranieri,23/2/2017,Craig Shakespeare
Hull,Mike Phelan,3/1/2017,Marco Silva
Swansea,Alan Curtis,3/1/2017,Paul Clement
Swansea,Bob Bradley,27/12/2016,Alan Curtis
Crystal Palace,Alan Pardew,22/12/2016,Sam Allardyce
Swansea,Francesco Guidolin,3/10/2016,Bob Bradley
Hull,Steve Bruce,22/7/2016,Mike Phelan
Sunderland,Sam Allardyce,21/7/2016,David Moyes
Arsenal,Arsène Wenger,30/6/2018,Unai Emery
Swansea,Carlos Carvalhal,30/6/2018,Graham Potter
Stoke,Paul Lambert,18/5/2018,Gary Rowett
West Ham,David Moyes,16/5/2018,Manuel Pellegrini
Everton,Sam Allardyce,16/5/2018,Marco Silva
West Brom,Alan Pardew,2/4/2018,Darren Moore
Southampton,Mauricio Pellegrino,12/3/2018,Mark Hughes
Watford,Marco Silva,21/1/2018,Javi Gracia
Stoke,Eddie Niedzwiecki,15/1/2018,Paul Lambert
Stoke,Mark Hughes,6/1/2018,Eddie Niedzwiecki
Swansea,Leon Britton,28/12/2017,Carlos Carvalhal
Swansea,Paul Clement,20/12/2017,Leon Britton
Everton,David Unsworth,30/11/2017,Sam Allardyce
West Brom,Gary Megson,29/11/2017,Alan Pardew
West Brom,Tony Pulis,20/11/2017,Gary Megson
West Ham,Slaven Bilic,6/11/2017,David Moyes
Leicester,Michael Appleton,25/10/2017,Claude Puel
Everton,Ronald Koeman,23/10/2017,David Unsworth
Leicester,Craig Shakespeare,17/10/2017,Michael Appleton
